"airportIATACode";"airportName";"airportICAOCode"
"DHN";"Dothan Airport";"KDHN"
"DHR";"De Kooy/Den Helder Airport";"EHKD"
"DHT";"Dalhart";"KDHT"
"DIB";"Dibrugarh";"VEMN"
"DIE";"Antsiranana/Arrachart";"FMNA"
"DIG";"Diqing";"ZPDQ"
"DIJ";"Dijon";"LFSD"
"DIK";"Dickinson";"KDIK"
"DIL";"Presidente Nicolau Lobato International";"WPDL"
"DIM";"Dimbokro";"DIDK"
"DIN";"Dien Bien";"VVDB"
"DIP";"Diapaga";"DFED"
"DIQ";"Divinopolis";"SNDV"
"DIR";"Aba Tenna D Yilma";"HADR"
"DIS";"Loubomo";"FCPL"
"DIU";"Diu";"VA1P"
"DIW";"Mawella Lagoon";""
"DIY";"DIYARBAKIR";"LTCC"
"DJA";"Djougou";"DBBD"
"DJB";"Sultan Taha Syarifudn";"WIPA"
"DJE";"DJERBA";"DTTJ"
"DJG";"Inedbirenne";"DAAJ"
"DJJ";"Sentani";"WAJJ"
"DJM";"Djambala";"FCBD"
"DJN";"Delta Junction";""
"DJO";"Daloa";"DIDL"
"DJU";"Djupivogur";"BIDV"
"DKA";"Katsina";""
"DKI";"Dunk Island";"YDKI"
"DKK";"Dunkirk";"KDKK"
"DKR";"LEOPOLD SEDAR SENGHOR";"GOOY"
"DKS";"Dikson";"UODD"
"DKV";"Docker River";"YDVR"
"DLA";"DOUALA";"FKKD"
"DLC";"DALIAN";"ZYTL"
"DLD";"Geilo Airport Dagali";"ENDI"
"DLE";"Tavaux";"LFGJ"
"DLF";"Laughlin AFB";"KDLF"
"DLG";"Municipal";"PADL"
"DLH";"DULUTH INTL";"KDLH"
"DLI";"Lienkhang";"VVDL"
"DLK";"Dulkaninna";"YDLK"
"DLL";"Dillon";"KDLC"
"DLM";"DALAMAN";"LTAY"
"DLN";"Dillon";"KDLN"
"DLS";"Columbia Gorge Regional/The Dalles Municipal Airpo";"KDLS"
"DLU";"Dali";"ZPDL"
"DLV";"Delissaville";"YDLV"
"DLY";"Dillons Bay";"NVVD"
"DLZ";"Dalanzadgad";"ZMDZ"
"DMA";"Davis Monthan AFB";"KDMA"
"DMB";"Zhambyl";"UADD"
"DMD";"Doomadgee";"YDMG"
"DME";"MOSCOW - DOMODEDOVO AIRPORT";"UUDD"
"DMK";"DON MUANG";"VTBD"
"DMM";"KING FAHD INTL";"OEDF"
"DMN";"Deming";"KDMN"
"DMO";"Sedalia";"KDMO"
"DMT";"Diamantino";"SWDM"
"DMU";"Dimapur";"VEMR"
"DNA";"Kadena AB";"RODN"
"DNB";"Dunbar";"YDBR"
"DND";"Dundee";"EGPN"
"DNE";"Dallas North Airport";""
"DNF";"Martuba";""
"DNG";"Doongan";""
"DNH";"Dunhuang";"ZLDH"
"DNI";"Wad Medani";""
"DNK";"DNIPROPETROVSK INTL";"UKDD"
"DNL";"Daniel Field";"KDNL"
"DNM";"Denham";"YSHK"
"DNN";"Municipal";"KDNN"
"DNO";"Dianopolis";"SWDN"
"DNP";"Dang";"VNDG"
"DNQ";"Deniliquin";"YDLQ"
"DNR";"Pleurtuit";"LFRD"
"DNS";"Municipal";"KDNS"
"DNU";"Dinangat";""
"DNV";"Vermilion County";"KDNV"
"DNX";"Galegu";"HSGG"
"DNZ";"CARDAK";"LTAY"
"DOA";"Doany";""
"DOB";"Dobo Airport";"WAPD"
"DOC";"Dornoch";""
"DOD";"Dodoma";"HTDO"
"DOE";"Djoemoe";""
"DOG";"Dongola";"HSDN"
"DOH";"DOHA";"OTBD"
"DOI";"Doini";""
"DOK";"Donetsk International Airport";"UKCC"
"DOL";"St Gatien";"LFRG"
"DOM";"Melville Hall";"TDPD"
"DON";"Dos Lagunas";""
"DOO";"Dorobisoro";""
"DOP";"Dolpa";"VNDP"
"DOR";"Dori";"DFEE"
"DOU";"DOURADOS";"SBDO"
"DOV";"Dover AFB";"KDOV"
"DOX";"Dongara";""
"DOY";"Dongying";"ZSDY"
"DPA";"Dupage County";"KDPA"
"DPE";"Dieppe";""
"DPG";"Michael AAF";""
"DPL";"Dipolog";"RPMG"
"DPO";"Devonport";"YDPO"
"DPS";"NGURAH RAI";"WADD"
"DQA";"Sartu";"ZYDQ"
"DRA";"Desert Rock";"KDRA"
"DRB";"Derby";"YDBY"
"DRC";"Dirico";""
"DRD";"Dorunda Station";"YDOR"
"DRE";"Drummond Island";"KDRM"
"DRF";"Drift River";""
"DRG";"Deering";"PADE"
"DRH";"Dabra";""
"DRI";"Beauregard Parish";"KDRI"
"DRJ";"Drietabbetje";"SMDA"
"DRK";"Drake Bay";"MRDK"
"DRN";"Dirranbandi";"YDBI"
"DRO";"LA PLATA";"KDRO"
"DRR";"Durrie";"YDRI"
"DRS";"DRESDEN";"EDDC"
"DRT";"Del Rio International";"KDRT"
"DRU";"Drummond";""
"DRV";"Dharavandhoo Island";"VRMD"
"DRW";"DARWIN";"YPDN"
"DRY";"Drysdale River";""
"DSA";"Robin Hood";"EGCN"
"DSC";"Dschang";"FKKS"
"DSD";"La Desirade";"TFFA"
"DSE";"Combolcha";"HADC"
"DSG";"Dilasag";""
"DSI";"Destin-Fort Walton Beach Airport";"KDTS"
"DSK";"Dera Ismail Khan";"OPDI"
"DSM";"DES MOINES AIRPORT";"KDSM"
"DSN";"Dongsheng";"ZBDS"
"DSO";"Sondok Airport";"ZKSD"
"DSS";"Blaise Diagne International Airport";"GOBD"
"DSV";"Dansville";"KDSV"
"DTA";"Delta";"KDTA"
"DTB";"Silangit Airport";"WIMN"
"DTD";"Datadawai";"WALJ"
"DTE";"Naga";"RPUD"
"DTH";"Death Valley";""
"DTI";"Diamantina";"SNDT"
"DTL";"Municipal";"KDTL"
"DTM";"DORTMUND";"EDLW"
"DTN";"Shreveport Downtown";"KDTN"
"DTR";"Decatur Island";""
"DTU";"Wudalianchi Dedu Airport";"ZYDU"
"DTW";"WAYNE COUNTY";"KDTW"
"DTZ";"DORTUMUND HBF RAIL STATION";""
"DU9";"Dunnville Airport";"CDU9"
"DUA";"Eaker";"KDUA"
"DUB";"DUBLIN";"EIDW"
"DUC";"Halliburton Field";"KDUC"
"DUD";"DUNEDIN AIRPORT";"NZDN"
"DUE";"Dundo";"FNDU"
"DUF";"Pine Island Airport";""
"DUG";"Bisbee-Douglas International";"KDUG"
"DUJ";"Du Bois-Jefferson County";"KDUJ"
"DUK";"Dukuduk";""
"DUM";"Pinang Kampai";"WIBD"
"DUQ";"Duncan/Quam";"CAM3"
"DUR";"DURBAN";"FADN"
"DUS";"DUSSELDORF";"EDDL"
"DUT";"Emergency Field";"PADU"
"DVD";"Andavadoaka";""
"DVK";"Diavik";""
"DVL";"Devils Lake";"KDVL"
"DVN";"Davenport";"KDVN"
"DVO";"Francisco Bangoy International";"RPMD"
"DVP";"Davenport Downs";"YDPD"
"DVR";"Daly River";"YDMN"
"DVT";"Phoenix Deer Valley Airport";"KDVT"
"DWA";"Dwangwa";"KDWA"
"DWB";"Soalala";"FMNO"
"DWC";"AL MAKTOUM INTERNATIONAL AIRPORT";"OMDW"
"DWD";"Dawadmi";"OEDW"
"DWH";"David Wayne Hooks";"KDWH"
"DXB";"DUBAI";"OMDB"
"DXD";"Dixie";""
"DXR";"Danbury Municipal Airport";"KDXR"
"DYA";"Dysart";"YDYS"
"DYG";"DAYONG";"ZGDY"
"DYL";"Doylestown";"KDYL"
"DYM";"Diamantina Lakes";""
"DYR";"Anadyr";"UHMA"
"DYS";"Dyess AFB";"KDYS"
"DYU";"DUSHANBE";"UTDD"
"DYW";"Daly Waters";""
"DZA";"dzaoudzi";"FMCZ"
"DZI";"Codazzi";""
"DZN";"Zhezhazgan";"UAKD"
"DZO";"Santa Bernardina";"SUDU"
"DZU";"Dazu";""
"EAA";"Eagle";"PAEA"
"EAB";"Abbse";"OYAB"
"EAE";"Emae";"NVSE"
"EAL";"Elenak";""
"EAM";"Nejran";"OENG"
"EAN";"Phifer Field";""
"EAR";"Kearney";"KEAR"
"EAS";"SAN SEBASTIAM";"LESO"
"EAT";"Pangborn Field";"KEAT"
"EAU";"Chippewa Valley Regional Airport";"KEAU"
"EBA";"Marina Di Campo";"LIRJ"
"EBB";"ENTEBBE INT.";"HUEN"
"EBD";"El Obeid";"HSOB"
"EBG";"El Bagre";"SKEB"
"EBH";"El Bayadh";"DAOY"
"EBJ";"Esbjerg";"EKEB"
"EBL";"ARBIL INTERNATIONAL AIRPORT";"ORER"
"EBM";"El Borma";"DTTR"
"EBN";"Ebadon";""
"EBO";"Ebon Airport";""
"EBS";"Municipal";"KEBS"
"EBU";"Boutheon";"LFMH"
"EBW";"Ebolowa";"FKKW"
"ECA";"Emmet County Airport";"K6D9"
"ECG";"Elizabeth City";"KECG"
"ECH";"Echuca";"YECH"
"ECI";"Costa Esmeralda Airport";"MNCE"
"ECN";"Ercan";"LCEN"
"ECO";"El Encanto";""
"ECP";"NW Florida Beaches Int";"KECP"
"ECR";"El Charco";""
"ECS";"Mondell";""
"ECV";"Cuatro Vientos Airport";"LECU"
"EDB";"Eldebba";"HSDB"
"EDD";"Erldunda";"YERL"
"EDE";"Municipal";"KEDE"
"EDF";"Elmendorf AFB";"PAED"
"EDI";"TURNHOUSE";"EGPH"
"EDK";"El Dorado";"KEQA"
"EDL";"Eldoret";"HKED"
"EDM";"Les Ajoncs";"LFRI"
"EDO";"KORFEZ";"LTFD"
"EDQ";"Erandique";""
"EDR";"Edward River";"YPMP"
"EDW";"Edwards AFB";"KEDW"
"EED";"Needles";"KEED"
"EEK";"Eek";"PAEE"
"EEN";"Dillant-Hopkins";"KEEN"
"EFD";"Ellington Field";"KEFD"
"EFG";"Efogi";""
"EFK";"Newport";"KEFK"
"EFL";"ARGOSTOLION";"LGKF"
"EFW";"Municipal";""
"EGA";"Engati";""
"EGC";"Roumanieres";"LFBE"
"EGE";"EAGLE COUNTY";"KEGE"
"EGH";"El Gora Airport";"HEGR"
"EGI";"Duke Field";"KEGI"
"EGL";"Neghelli";"HANG"
"EGM";"Sege";"AGGS"
"EGN";"Geneina";"HSGN"
"EGO";"BELGOROD";"UUOB"
"EGP";"Maverick Co";""
"EGS";"Egilsstadir";"BIEG"
"EGV";"Eagle River";"KEGV"
"EGX";"Egegik";"PAII"
"EHL";"El Bolson";"SAVB"
"EHM";"Cape Newenham";"PAEH"
"EIB";"Eisenach";"EDGE"
"EIE";"Eniseysk";"UNII"
"EIH";"Einasleigh";"YEIN"
"EIK";"Yeysk";"URKE"
"EIL";"Eielson AFB";"PAEI"
"EIN";"EINDHOVEN";"EHEH"
"EIS";"BEEF ISLAND";"TUPJ"
"EIY";"Ein Yahav";"LLEY"
"EJA";"Variguies";"SKEJ"
"EJH";"Wedjh";"OEWJ"
"EJT";"Enijet";""
"EKA";"Murray Field";"KEKA"
"EKB";"Ekibastuz";"UASB"
"EKD";"Elkedra";""
"EKI";"Municipal";"KEKM"
"EKN";"Elkins";"KEKN"
"EKO";"Elko Regional";"KEKO"
"EKS";"Shakhtersk";"KEKS"
"EKT";"Eskilstuna";"ESSU"
"EKX";"Elizabethtown";""
"ELA";"Eagle Lake";""
"ELB";"San Bernado";"SKBC"
"ELC";"Elcho Island";"YELD"
"ELD";"Goodwin Field";"KELD"
"ELE";"El Real";""
"ELF";"El Fasher";"HSFS"
"ELG";"Djamet";"DAUE"
"ELH";"NORTH ELEUTHERA INTL";"MYEH"
"ELI";"Elim";"PFEL"
"ELJ";"El Recreo";""
"ELK";"Municipal";"KELK"
"ELL";"Ellisras";"FAER"
"ELM";"ELMIRA";"KELM"
"ELN";"Bowers Field";"KLEN"
"ELO";"Eldorado";"SATD"
"ELP";"EL PASO INTL";"KELP"
"ELQ";"Gassim Regional Airport";"OEGS"
"ELR";"Elelim";""
"ELS";"EAST LONDON";"FAEL"
"ELT";"Tour Sinai City";"HETR"
"ELU";"Guemar";"DAUO"
"ELV";"Elfin Cove Seaplane Base";"PAEL"
"ELY";"Yelland";"KELY"
"ELZ";"Municipal";"KELZ"
"EMA";"EAST MIDLANDS";"EGNX"
"EMD";"Emerald";"YEML"
"EME";"Emden";"EDWE"
"EMG";"Empangeni";""
"EMI";"Emirau";""
"EMK";"Emmonak";"PAEM"
"EML";"Emmen";"LSME"
"EMM";"Kemerer";"KEMM"
"EMN";"Nema";"GQNI"
"EMO";"Emo";""
"EMP";"Emporia";"KEMP"
"EMS";"Embessa";""
"EMT";"El Monte";"KEMT"
"EMX";"El Maiten";"SAVD"
"EMY";"El Minya";""
"ENA";"Kenai";"PAEN"
"ENB";"Eneabba West";"YEEB"
"ENC";"Essey";"LFSN"
"END";"Vance AFB";"KEND"
"ENE";"Ende";"WATE"
"ENF";"Enontekio";"EFET"
"ENH";"Enshi";"ZHES"
"ENI";"El Nido";""
"ENJ";"El Naranjo";""
"ENK";"Enniskillen St. Angelo";"EGAB"
"ENL";"Municipal";"KENL"
"ENN";"Municipal";"PANN"
"ENO";"Teniente Prim Alarcon";"SGEN"
"ENS";"Twente";"EHTW"
"ENT";"Enewetak Island";"PKMA"
"ENU";"Enugu";"DNEN"
"ENV";"Wendover";"KENV"
"ENW";"Kenosha Regional Airport";"KENW"
"ENY";"Ershilipu";"ZLYA"
"EOH";"Enrique Olaya Herrera International Airport";"SKMD"
"EOI";"Eday";"EGED"
"EOK";"Keokuk";"KEOK"
"EOR";"El Dorado";"SVED"
"EOS";"Neosho";"KEOS"
"EOZ";"Elorza";"SVEZ"
"EPA";"El Palomar";"SADP"
"EPG";"Browns";""
"EPH";"Ephrata";"KEPH"
"EPL";"Mirecourt";"LFSG"
"EPR";"Esperance";"YESP"
"EPS";"Arroyo Barril International";"MDAB"
"EPT";"Eliptamin";""
"EPU";"Parnu";"EEPU"
"EQS";"Esquel";"SAVE"
"ERA";"Erigavo";"HCMU"
"ERB";"Ernabella";"YERN"
"ERC";"Erzincan";"LTCD"
"ERD";"Berdyansk";"UKDB"
"ERE";"Erave";""
"ERF";"Erfurt";"EDDE"
"ERG";"Yerbogachen";"UIKE"
"ERH";"ERRACHIDIA";"GMFK"
"ERI";"ERIE INTL";"KERI"
"ERL";"Saiwusu International";"ZBER"
"ERM";"Comandante Kraemer";"SSER"
"ERN";"Eirunepe";"SWEI"
"ERQ";"Elrose Mine";""
"ERR";"Errol";""
"ERS";"Eros";"FYWE"
"ERT";"Erdenet";""
"ERU";"Erume";""
"ERV";"Kerrville";"KERV"
"ERZ";"Erzurum Hava Alani";"LTCE"
"ESA";"Esa'Ala";""
"ESB";"ESENBOGA";"LTAC"
"ESC";"Delta County Airport";"KESC"
"ESD";"Orcas Island";"KORS"
"ESE";"Ensenada";"MMES"
"ESF";"Esler Field";"KESF"
"ESG";"Mariscal Estigarribia";"SGME"
"ESH";"Shoreham";"EGKA"
"ESI";"Espinosa";""
"ESK";"Eskisehir";"LTBI"
"ESL";"Elista";"URWI"
"ESM";"Esmeraldas";"SEES"
"ESN";"Easton";"KESN"
"ESO";"Espanola";""
"ESP";"Birchwood-Pocono";""
"ESR";"El Salvador";"SCES"
"ESS";"Essen";"EDLE"
"EST";"Municipal";"KEST"
"ESU";"Essaouira";"GMMI"
"ESW";"State";"KESW"
"ETB";"West Bend";"KETB"
"ETD";"Etadunna";"YEDA"
"ETE";"Genda Wuha";""
"ETH";"Eilat";"LLET"
"ETN";"Municipal";""
"ETR";"Santa Rosa Regional";"LFFY"
"ETS";"Municipal";"KEDN"
"ETZ";"METZ";"LFJL"
"EUA";"Kaufana";"NFTE"
"EUC";"Eucla";"YECL"
"EUE";"Eureka";""
"EUF";"Weedon Field";"KEUF"
"EUG";"EUGENE";"KEUG"
"EUM";"Neumuenster";"EDHN"
"EUN";"HASSAN I";"GMML"
"EUO";"Paratebueno";""
"EUQ";"Evelio Javier";"RPVS"
"EUX";"F D ROOSEVELT";"TNCE"
"EVD";"Eva Downs";"YEVA"
"EVE";"EVENES";"ENEV"
"EVG";"Sveg";"ESND"
"EVH";"Evans Head";"YEVD"
"EVM";"Eveleth";"KEVM"
"EVN";"YEREVAN";"UGEE"
"EVV";"DRESS RGNL";"KEVV"
"EVW";"Evanston";"KEVW"
"EVX";"Evreux";"LFOE"
"EWB";"New Bedford";"KEWB"
"EWD";"Wildman Lake";"OEWD"
"EWE";"Ewer";""
"EWI";"Enarotali";"WABT"
"EWK";"City-County";"KEWK"
"EWN";"CRAVEN COUNTY REGIONAL";"KEWN"
"EWO";"Ewo";""
"EWR";"NEWARK INTERNATIONAL";"KEWR"
"EXI";"SPB";""
"EXM";"Exmouth Gulf";""
"EXT";"EXETER";"EGTE"
"EYK";"Beloyarsky";"USHQ"
"EYL";"Yelimane";"GAYE"
"EYP";"El Yopal";"SKYP"
"EYR";"Yerington";""
"EYS";"Eliye Springs";"HKES"
"EYW";"KEY WEST INTL";"KEYW"
"EZE";"BUENOS AIRES-MINISTRO PISTARINI";"SAEZ"
"EZS";"Elazig";"LTCA"
"EZV";"Berezovo";"USHB"
"FAA";"Faranah";"GUFH"
"FAB";"Farnborough";"EGLF"
"FAC";"Faaite";"NTKF"
"FAE";"Vagar";"EKVG"
"FAF";"Felker AAF";"KFAF"
"FAG";"Fagurholsmyri";"BIFM"
"FAH";"Farah";"OAFR"
"FAI";"FAIRBANKS INTL";"PAFA"
"FAJ";"Diego Jimenez Torres";"TJFA"
"FAM";"Regional";"KFAM"
"FAN";"Lista Airport";"ENLI"
"FAO";"FARO";"LPFR"
"FAQ";"Freida River";"AYFR"
"FAR";"HECTOR FIELD";"KFAR"
"FAS";"Faskrudsfjordur";"BIFF"
"FAT";"FRESNO YOSEMITE INTL";"KFAT"
"FAU";"Fahud";""
"FAV";"Fakarava";"NTGF"
"FAY";"FAYETTEVILLE MNPL";"KFAY"
"FAZ";"Fasa";"OISF"
"FBA";"Fonte Boa";"SWOB"
"FBD";"Faizabad";"OAFZ"
"FBE";"Francisco Beltrao";"SSFB"
"FBG";"Simmons AAF";"KFBG"
"FBK";"Ft Wainwright";"PAFB"
"FBL";"Municipal";"KFBL"
"FBM";"LUANO INTL";"FZQA"
"FBR";"Fort Bridger";"KFBR"
"FBU";"Oslo, Fornebu Airport";"ENFB"
"FBY";"Municipal";""
"FCA";"GLACIER NATIO";"KGPI"
"FCB";"Ficksburg Sentra Oes";"FAFB"
"FCH";"Fresno-Chandler";"KFCH"
"FCM";"Flying Cloud";"KFCM"
"FCN";"Cuxhaven/Nordholz";"ETMN"
"FCO";"Leonardo da Vinci";"LIRF"
"FCS";"Butts AAF";"KFCS"
"FCY";"Municipal";""
"FDE";"Bringeland";"ENBL"
"FDF";"LE LAMENTIN";"TFFF"
"FDH";"FRIEDRICHSHAFEN";"EDNY"
"FDK";"Frederick Municipal";"KFDK"
"FDO";"San Fernando Airport";"SADF"
"FDR";"Municipal";"KFDR"
"FDU";"Bandundu";"FZBO"
"FDY";"Findlay";"KFDY"
"FEA";"Fetlar";""
"FEB";"Sanfebagar";"VNSR"
"FEC";"Feira De Santana";""
"FEG";"Fergana";"UTKF"
"FEK";"Ferkessedougou";"DIFK"
"FEL";"Fuerstenfeldbruck";"ETSF"
"FEN";"lAZARO cARDENAS";"SBFN"
"FEP";"Albertus";"KFEP"
"FET";"Municipal";"KFET"
"FEZ";"Saiss";"GMFF"
"FFA";"First Flight";"KFFA"
"FFD";"RAF Station";"EGVA"
"FFL";"Municipal";"KFFL"
"FFM";"Fergus Falls";"KFFM"
"FFO";"Patterson AFB";"KFFO"
"FFT";"Capital City";"KFFT"
"FFU";"Futaleufu";"SCFT"
"FGD";"Fderik";"GQPF"
"FGI";"Fagali I";"NSAP"
"FGU";"Fangatau";"NTGB"
"FHU";"Municipal";"KFHU"
"FHZ";"Fakahina";"NTKH"
"FID";"Elizabeth Field";""
"FIE";"Fair Isle";"EGEF"
"FIG";"Fria";"GUFA"
"FIH";"KINSHASA";"FZAA"
"FIK";"Finke";"YFNE"
"FIL";"Municipal";"KFOM"
"FIN";"Finschhafen";""
"FIZ";"Fitzroy Crossing";"YFTZ"
"FJR";"Al-Fujairah International";"OMFJ"
"FKB";"SOELLINGEN";"EDSB"
"FKI";"Kisangani";"FZIC"
"FKJ";"Fukui";"RJNF"
"FKL";"Chess-Lambertin";"KFKL"
"FKN";"Municipal";"KFKN"
"FKQ";"Fak Fak";"WASF"
"FKS";"Fukushima Airport";"RJSF"
"FLA";"Capitolio";"SKFL"
"FLB";"Cangapara";"SNQG"
"FLD";"Fond Du Lac";"KFLD"
"FLF";"Schaferhaus";"EDXF"
"FLG";"Pulliam Field";"KFLG"
"FLH";"Flotta";""
"FLI";"Flateyri";""
"FLL";"FT. LAUDERDALE";"KFLL"
"FLM";"Filadelfia";"SGFI"
"FLN";"FLORIANOPOLIS";"SBFL"
"FLO";"Florence";"KFLO"
"FLP";"Flippin";"KFLP"
"FLR";"Amerigo Vespucci";"LIRQ"
"FLS";"Flinders Island";"YFLI"
"FLT";"Flat";""
"FLV";"Sherman AAF";"KFLV"
"FLW";"Santa Cruz";"LPFL"
"FLX";"Municipal";""
"FLY";"Finley";""
"FLZ";"Dr Ferdinand Lumban Tobing Airport";"WIMS"
"FMA";"El Pucu";"SARF"
"FMC";"Five Mile";"PAFV"
"FME";"Tipton AAF";"KFME"
"FMG";"Flamingo";"MRFL"
"FMH";"Otis AFB";"KFMH"
"FMI";"Kalemie";"FZRF"
"FMM";"Memmingen Allgau Airport";"EDJA"
"FMN";"Municipal";"KFMN"
"FMO";"MUENSTER";"EDLG"
"FMS";"Municipal";""
"FMU";"Florence Municipal";""
"FMY";"Page Field";"KFMY"
"FNA";"FREETOWN";"GFLL"
"FNB";"Neubrandenburg";"ETNU"
"FNC";"CRISTIANO RONALDO";"LPMA"
"FNE";"Fane";"AYFA"
"FNG";"Fada Ngourma";"DFEF"
"FNH";"Fincha";"HAFN"
"FNI";"Garons";"LFTW"
"FNJ";"Sunan International";"ZKPY"
"FNL";"Municipalcipal Airport";"KFNL"
"FNR";"Funter Bay Seaplane Base";"PANR"
"FNT";"BISHOP";"KFNT"
"FNU";"Fenosu";"LIER"
"FOA";"Foula";""
"FOB";"Fort Bragg";""
"FOC";"FUZHOU";"ZSFZ"
"FOD";"Fort Dodge Regional";"KFOD"
"FOE";"Forbes Field";"KFOE"
"FOG";"Gino Lisa";"LIBF"
"FOK";"Suffolk County";"KFOK"
"FOM";"Foumban";"FKKM"
"FON";"Fortuna";"MRAN"
"FOO";"Numfoor";""
"FOR";"PINTO MARTINS";"SBFZ"
"FOS";"Forrest";"YPFT"
"FOT";"Forster";"YFST"
"FOU";"Fougamou";"FOGF"
"FOY";"Foya";""
"FPO";"GRAND BAHAMA INTL";"MYGF"
"FPR";"St Lucie County";"KFPR"
"FPY";"Perry-Foley";"K40J"
"FRA";"INTERNATIONAL";"EDDF"
"FRB";"Forbes";"YFBS"
"FRC";"Franca";"SIMK"
"FRD";"Friday Harbor";"KFHR"
"FRE";"Fera Island";"AGGF"
"FRG";"Republic Field";"KFRG"
"FRH";"Municipal";"KFRH"
"FRI";"Marshall AAF";"KFRI"
"FRJ";"Fr̩jus Airport";"LFTU"
"FRK";"Fregate Island";"FSSF"
"FRL";"Luigi Ridolfi";"LIPK"
"FRM";"Fairmont";"KFRM"
"FRN";"Bryant AAF";"PAFR"
"FRO";"Flora";"ENFL"
"FRQ";"Feramin";""
"FRR";"Front Royal-Warren County";""
"FRS";"FLORES";"MGTK"
"FRT";"Frutillar";"SCEV"
"FRU";"BISHKEK";"UAFM"
"FRW";"Francistown";"FBFT"
"FRY";"Fryeburg";"KIZG"
"FRZ";"Fritzlar Airbase";"ETHF"
"FSC";"Sud Corse";"LFKF"
"FSD";"REGIONAL";"KFSD"
"FSI";"Henry Post AAF";"KFSI"
"FSK";"Municipal";"KFSK"
"FSL";"Fossil Downs";""
"FSM";"Regional";"KFSM"
"FSP";"Saint-pierre Pointe-blanche";"LFVP"
"FSS";"Kinloss";"EGQK"
"FST";"Pecos County";"KFST"
"FSU";"Fort Sumner";"KFSU"
"FSZ";"Mount Fuji";"RJNS"
"FTA";"Futuna Airport";"NVVF"
"FTE";"El Calafate";"SAWC"
"FTI";"Fitiuta";"NSFQ"
"FTK";"Godman AAF";"KFTK"
"FTU";"Marillac";"FMSD"
"FTW";"Meacham Field";"KFTW"
"FTX";"Owando";"FCOO"
"FTY";"Fulton County";"KFTY"
"FUB";"Fulleborn";""
"FUE";"FUERTEVENTURA";"GCFV"
"FUG";"Fuyang";"ZSFY"
"FUJ";"Fukue";"RJFE"
"FUK";"FUKUOKA AIRPORT";"RJFF"
"FUL";"Municipal";"KFUL"
"FUM";"Fuma";""
"FUN";"International";"NGFU"
"FUO";"Fuoshan";""
"FUT";"Futuna Island";"NLWF"
"FVL";"Flora Valey";""
"FVM";"Fuvahmulak";"VRMR"
"FVR";"Forrest River Airport";""
"FWA";"MUNICIPAL";"KFWA"
"FWH";"Fort Worth NAS Jrb/Carswell Field";"KNFW"
"FWL";"Farewell";""
"FXE";"Fort Lauderdale Executive";"KFXE"
"FXM";"Flaxman Island";""
"FXO";"Cuamba";"FQCB"
"FXY";"Municipal";"KFXY"
"FYJ";"Dongji Aiport";"ZYFY"
"FYM";"Municipal";""
"FYN";"Fuyun Koktokay Airport";"ZWFY"
"FYT";"Faya";"FTTY"
"FYU";"Fort Yukon";"PFYU"
"FYV";"Municipal (Drake Field)";"KFYV"
"FZO";"Bristol Filton Airport";"EGTG"
"GAB";"Gabbs";"KGAB"
"GAC";"Gracias";""
"GAD";"Municipal";"KGAD"
"GAE";"Gabes";"DTTG"
"GAF";"Gafsa";"DTTF"
"GAG";"Gage";"KGAG"
"GAH";"Gayndah";"YGAY"
"GAI";"Montgomery County";"KGAI"
"GAJ";"Junmachi";"RJSC"
"GAL";"Galena";"PAGA"
"GAM";"Gambell";"PAGM"
"GAN";"Gan Airport";"VRMG"
"GAO";"Los Canos";"MUGT"
"GAP";"Gusap";"AYGP"
"GAQ";"Gao";"GAGO"
"GAR";"Garaina";""
"GAS";"Garissa";"HKGA"
"GAT";"Tallard";"LFNA"
"GAU";"GUWAHATI";"VEGT"
"GAV";"Gag Island";""
"GAW";"Gangaw";"VYGG"
"GAX";"Gamba";""
"GAY";"Gaya";"VEGY"
"GAZ";"Guasopa";""
"GBA";"COTSWOLD";"EGBP"
"GBB";"Gabala";"UBBQ"
"GBC";"Gasuke";""
"GBD";"Great Bend";"KGBD"
"GBE";"SIR SERETSE KHAMA INTL";"FBSK"
"GBF";"Negarbo";""
"GBG";"Galesburg";"KGBG"
"GBH";"Galbraith Lake";"PAGB"
"GBI";"Auxiliary Airfield";""
"GBJ";"Les Bases";"TFFM"
"GBK";"Gbangbatok";"GFGK"
"GBL";"Goulburn Island";""
"GBP";"Gamboola";""
"GBR";"Walter J. Koladza Airport";"KGBR"
"GBT";"Gorgan";"OING"
"GBU";"Khashm El Girba";"HSKG"
"GBV";"Gibb River";"YGIB"
"GBZ";"Great Barrier Island";"NZGB"
"GCA";"Guacamaya";""
"GCC";"CAMPBELL COUNTY";"KGCC"
"GCD";"Grand Coulee Dam";""
"GCH";"Gachsaran";"OIAH"
"GCI";"GUERNSEY";"EGJB"
"GCJ";"Grand Central";"FAGC"
"GCK";"Garden City Municipal Airport";"KGCK"
"GCM";"OWEN ROBERT";"MWCR"
"GCN";"National Park";"KGCN"
"GCV";"Gravatai";""
"GCW";"Grand Canyon West";""
"GCY";"Municipal";"KGCY"
"GDC";"Donaldson Center";"KGYH"
"GDD";"Gordon Downs";"YGDN"
"GDE";"Gode/Iddidole";"HAGO"
"GDG";"Magdagachi";"UHBI"
"GDI";"Gordil";"FEGL"
"GDJ";"Gandajika";"FZWC"
"GDL";"MIGUEL HIDALGO";"MMGL"
"GDM";"Municipal";"KGDM"
